"Rank","Team","Win-Loss Record","Win %","MOV","ATS +/-"
"1","Philadelphia Eagles","16-3-0","84.2%","10.8","+7.9"
"2","New England Patriots","15-4-0","79.0%","9.4","+0.8"
"3","Minnesota Vikings","14-4-0","77.8%","5.8","+2.4"
"4","Pittsburgh Steelers","13-4-0","76.5%","5.6","-0.3"
"5","New Orleans Saints","12-6-0","66.7%","6.8","+3.7"
"6","Carolina Panthers","11-6-0","64.7%","1.8","+1.0"
"7","Los Angeles Rams","11-6-0","64.7%","8.0","+5.5"
"8","Jacksonville Jaguars","12-7-0","63.2%","8.2","+6.4"
"9","Atlanta Falcons","11-7-0","61.1%","2.6","-1.0"
"10","Kansas City Chiefs","10-7-0","58.8%","4.4","+0.7"
"11","Seattle Seahawks","9-7-0","56.2%","2.1","-0.7"
"12","Dallas Cowboys","9-7-0","56.2%","1.4","-0.8"
"13","Los Angeles Chargers","9-7-0","56.2%","5.2","+3.8"
"14","Detroit Lions","9-7-0","56.2%","2.1","+1.6"
"15","Baltimore Ravens","9-7-0","56.2%","5.8","+3.5"
"16","Tennessee Titans","10-8-0","55.6%","-2.3","-2.7"
"17","Buffalo Bills","9-8-0","52.9%","-3.8","-1.4"
"18","Arizona Cardinals","8-8-0","50.0%","-4.1","-2.2"
"19","Cincinnati Bengals","7-9-0","43.8%","-3.7","-2.8"
"20","Green Bay Packers","7-9-0","43.8%","-4.0","-2.3"
"21","Washington Redskins","7-9-0","43.8%","-2.9","-1.9"
"22","San Francisco 49ers","6-10-0","37.5%","-3.2","+1.1"
"23","Miami Dolphins","6-10-0","37.5%","-7.0","-2.4"
"24","Oakland Raiders","6-10-0","37.5%","-4.5","-4.3"
"25","Tampa Bay Buccaneers","5-11-0","31.2%","-2.9","-0.8"
"26","New York Jets","5-11-0","31.2%","-5.2","+1.1"
"27","Chicago Bears","5-11-0","31.2%","-3.5","+1.2"
"28","Denver Broncos","5-11-0","31.2%","-5.8","-6.0"
"29","Indianapolis Colts","4-12-0","25.0%","-8.8","-3.3"
"30","Houston Texans","4-12-0","25.0%","-6.1","-2.6"
"31","New York Giants","3-13-0","18.8%","-8.9","-4.3"
"32","Cleveland Browns","0-16-0","0.0%","-11.0","-4.4"
